Xpos,Ypos,TMS,C1S,VCL,GAPDH
29534.1161395856,715.124318429662,78,5,12,307
29578.7239976758,193.525857059849,194,4,10,548
29582.0022338049,619.197691734922,48,0,4,216
29613.2929493545,464.465739821251,58,7,7,217
29618.0629567173,72.2507026419337,165,7,8,682
29655.4914013904,768.076106842298,71,6,8,379
29658.6751075012,333.722408026756,106,1,4,302
29696.5549882168,883.968578161823,62,4,3,326
29720.4011812812,423.180826896865,121,2,3,374
29775.478026025,688.105082248957,81,11,2,301
29863.3753784056,394.953582240161,259,3,37,965
29903.7378731343,906.999067164179,54,9,5,242
29914.4410714286,976.599404761905,87,5,7,326
30038.8821949348,265.29086722947,129,1,4,260
30049.380952381,157.85088985089,231,8,17,463
30247.7606803797,253.527689873418,426,23,16,597
30469.8986216096,172.451311694086,501,31,26,717
30851.6021142945,115.986823962004,539,7,38,1321
30963.524340495,488.227903181942,384,22,44,863
31083.7263042884,555.137667304015,415,13,31,776
31111.0928915321,682.007646559048,186,18,35,603
31223.6967912864,319.503679717398,264,13,9,696
31351.3727237505,284.910887253003,224,4,11,754
31448.1583547558,236.629305912596,130,6,2,666
31787.2502017756,487.609362389023,237,22,6,784
31496.5312907432,139.797913950456,86,0,7,352
31599.5991120023,853.27126897737,747,28,49,2510
31551.4272300469,57.2022390754785,187,8,16,694
31596.8800847458,188.982627118644,361,20,10,1269
31742.9168272644,634.172126990567,456,21,29,1479
31792.3311662465,492.238025739684,106,17,7,370
31884.8682378147,309.615693626138,415,14,22,1030
31884.5082631743,159.695042095416,297,12,8,652
32158.145998558,930.854722422495,72,6,5,560
32165.7522646711,406.945254037022,241,15,9,706
32254.7973068746,370.583628632176,210,8,13,757
32282.5040679165,649.252564556067,196,10,6,704
32284.5129893889,52.3117453347969,168,1,7,726
32630.616747182,55.9702093397746,125,1,1,500
32420.7634623055,682.895093737535,102,4,8,410
32426.9005649718,183.086252354049,257,3,7,794
32450.0726156069,776.887283236994,56,3,8,296
32543.6282778172,351.718284904323,131,3,3,501
32553.4481546573,522.438781487991,177,8,19,591
32573.2387669801,120.269070010449,258,0,6,791
32631.8496791934,309.328139321723,92,1,7,365
32653.6954773869,224.404522613065,137,2,3,427
32697.6258452292,674.974455296769,174,2,11,552
32719.5188884064,359.434650455927,175,2,5,545
32750.1867961165,757.829126213592,122,8,9,544
32753.8526282854,564.413329161452,120,2,6,416
32767.7771084337,429.940512048193,149,5,12,395
32771.4835069444,213.391927083333,98,1,11,442
32790.4583333333,103.78581871345,89,0,2,460
32799.1296891747,23.2041800643087,41,2,1,254
32850.4993032977,847.918718067812,374,3,14,1118
32853.4884097035,431.410242587601,128,1,2,326
32883.5416890801,249.883808499193,72,2,5,274
32914.8548387097,50.5905489530277,179,4,12,892
32931.1273542601,181.07264573991,223,5,7,763
32983.6793292266,504.846680355921,115,7,4,345
32989.5631621842,325.541564792176,180,9,4,453
33094.5062225476,605.010980966325,170,3,8,544
33316.3089330025,503.692928039702,154,11,11,544
33353.2668711656,920.498466257669,186,4,14,686
33424.5008506295,840.259612112964,108,3,12,395
33555.2054794521,418.555629802873,328,8,18,834
33551.1683443249,685.753210690732,122,2,7,417
33578.8092979127,40.3135673624288,159,4,9,432
33618.8482233503,124.688324873096,118,2,4,311
33628.0021551724,554.975431034483,354,15,10,581
33663.7308116048,233.118619170033,120,2,3,439
33679.7826825127,437.012308998302,335,1,9,728
