cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF,cluster
1948,5598.32797175363,16276.0525696352,4,65,0,38,1,5,0,2,2,7,0,0,0,4,8,0,5,0,0,noCluster
1949,5597.69331742243,16163.1097852029,3,66,2,32,11,8,1,13,3,3,0,0,3,3,36,0,5,0,0,noCluster
1950,6370.29083245522,16064.1039690903,10,85,1,100,5,3,1,15,3,4,0,1,0,1,15,0,3,0,0,noCluster
1953,8348.32996254682,15856.2662921348,7,58,5,43,6,10,1,28,11,5,0,1,17,3,90,0,21,0,0,noCluster
1954,9844.98023426061,16431.086749634,15,86,17,101,6,0,0,38,3,3,0,0,4,9,83,0,14,0,0,noCluster
1957,13037.7150684932,16568.4954990215,16,0,1,421,1,17,0,12,0,14,0,3,4,0,11,0,2,0,0,noCluster
1959,13124.655451966,16615.573571139,4,0,0,151,0,11,0,3,0,14,0,1,2,0,8,0,2,0,0,noCluster
1960,13870.1274007682,16029.2925736236,14,110,12,87,9,8,0,7,9,1,0,4,6,4,6,0,11,0,0,noCluster
1961,15299.5995766449,16129.4489327924,7,136,4,124,2,1,2,18,0,1,0,0,0,18,38,0,2,0,0,noCluster
1962,21404.7196261682,16178.691588785,8,38,0,42,3,3,3,5,3,0,0,0,0,2,27,0,2,0,0,noCluster
1963,30858.7716612378,15807.1693811075,0,62,0,56,0,0,0,2,0,0,0,0,0,0,8,0,4,0,0,noCluster
1964,31580.9500138466,15803.8627803932,3,124,1,107,2,1,2,3,5,2,0,0,4,8,8,0,3,0,0,noCluster
1966,32501.5682895304,16220.2757432141,0,77,0,442,0,0,0,0,1,0,0,3,0,2,2,0,2,0,0,noCluster
1967,33030.3775668522,16148.4617139728,0,341,0,462,0,0,1,39,3,1,0,1,1,8,29,0,7,0,0,noCluster
1968,33587.2822719449,16226.8468158348,2,15,2,45,1,6,0,8,2,6,0,3,2,1,20,0,5,1,0,noCluster
1969,37198.1237294076,16117.7770767613,0,51,0,60,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,noCluster
1970,37307.8470784641,16149.8828046745,0,60,0,62,0,0,0,3,0,1,0,0,0,10,2,0,5,0,0,noCluster
1971,37514.2432358568,16378.4840120251,1,61,0,72,0,1,0,4,0,0,0,0,0,7,4,0,5,0,0,noCluster
1977,1252.56607369759,16807.9047013977,8,63,1,102,2,2,1,11,3,4,0,1,8,5,13,0,4,0,0,noCluster
1978,2003.16367010788,17533.7746201137,32,317,4,1001,17,7,1,12,17,3,0,0,1,14,49,0,5,0,0,noCluster
1979,2003.28425886067,17381.9846462907,27,195,6,538,11,8,1,11,16,3,0,2,1,13,2,0,3,0,0,noCluster
1980,2100.64822990421,17102.885880883,6,231,1,1003,0,0,0,0,6,3,1,1,3,31,9,0,1,0,0,noCluster
1987,13087.5906956893,16698.5638070849,7,9,1,365,0,5,1,13,3,18,0,2,0,1,14,0,0,0,0,noCluster
1988,13201.2716661803,17125.9118762766,11,13,0,289,2,1,0,17,7,1,0,3,17,6,35,1,12,5,0,noCluster
1989,14192.3393771331,17340.2905290102,1,71,0,84,1,5,1,1,0,1,0,0,1,1,13,0,7,0,0,noCluster
1990,14423.3422077922,16838.9720779221,27,135,2,82,6,1,1,2,14,17,0,1,4,10,26,0,15,0,0,noCluster
1991,19962.3423360224,17157.9617678008,6,62,14,69,7,8,0,12,1,5,0,1,2,6,82,0,16,0,0,noCluster
1992,28021.9103448276,17554.6315270936,1,33,0,37,0,0,0,0,0,0,0,0,0,1,7,0,5,0,0,noCluster
1993,29059.1360245722,17165.5296182536,0,54,1,53,0,0,0,13,0,0,0,0,0,1,34,0,1,0,0,noCluster
1994,32775.479305741,16862.6341789052,0,74,0,47,0,0,0,2,1,0,0,1,0,11,4,0,4,0,0,noCluster
1995,33338.1709198813,17008.6919881306,0,138,0,89,1,3,0,31,0,1,0,1,0,6,1,0,0,0,0,noCluster
1996,33410.0286606129,17132.4798524404,0,131,1,57,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,noCluster
1997,33581.9541008277,16976.2799097065,0,40,0,156,0,14,0,8,0,1,0,1,0,0,12,0,5,0,0,noCluster
1998,35206.4452916508,17301.2809759817,3,56,0,34,0,0,0,12,0,0,0,2,0,2,2,0,0,0,0,noCluster
2007,480.804149526024,17772.8840994455,11,130,4,662,8,6,1,19,0,0,0,2,5,30,19,0,1,0,0,noCluster
2008,551.521070693205,17703.6455730954,1,203,7,917,0,0,0,23,0,0,0,0,1,33,2,0,2,0,0,noCluster
2009,802.575363941769,18064.595968645,2,181,0,682,1,5,0,1,0,1,0,1,6,17,47,1,5,0,0,noCluster
