Xpos,Ypos,TXNRD1,EGFR,LOXL2,GAPDH
5462.39630681818,2752.26321022727,935,33,224,1417
5589.21049472691,2701.20783674869,409,20,127,553
5897.0441528689,2349.58148495262,443,45,127,391
6051.11473668235,1980.37380482623,247,39,33,407
6084.17817346353,2744.8859276278,186,16,92,337
6252.10061242345,2628.60688247302,32,12,7,72
6286.22021619135,2062.10821067157,472,64,135,837
6443.60811724915,2310.71025930101,74,16,7,102
6877.168388617,2338.25938009788,107,21,48,202
7019.00737542724,2552.83432271991,37,9,14,69
10876.9136204889,3174.7809080326,88,59,21,416
11591.2547286184,2603.77302631579,96,81,15,259
11986.5951540814,2202.60903316867,68,31,140,615
11991.874876115,2573.94648166501,55,32,42,323
12133.3735943357,2092.72032486464,47,29,78,441
12504.3154952077,2393.02763578275,82,31,159,514
12784.8644400786,2157.32664667563,328,68,82,1192
12874.5266098617,2055.06844531359,218,60,19,679
13271.2321428571,1977.09020618557,446,20,122,910
13679.3382386756,2736.41998160497,389,57,261,1346
13696.3182269926,1981.48062015504,474,33,217,1109
14288.9163601851,2552.76474077589,310,52,93,553
14303.8126400717,3011.05774689975,59,16,34,71
14368.1322735147,2405.78192194028,496,37,134,833
14646.2132770066,2720.929993965,683,43,117,1169
14834.5515769794,2163.36457486588,105,41,39,257
14760.3008377761,2296.7517136329,178,44,69,623
14826.3563122924,1925.03737541528,85,8,13,576
15729.9250267762,2711.89682256337,87,27,91,177
15942.7335706224,2326.87889573748,39,35,24,159
15967.104192204,2696.07514096592,37,6,1,6
16080.5802529183,2252.72008754864,50,20,126,408
16170.9403141361,2266.84376963351,1,17,34,247
16534.1617967286,2107.04922266673,29,51,29,188
16640.8444655254,2284.51864947609,163,149,124,1372
17222.2897892442,2786.97674418605,473,112,69,856
18706.3957091776,2057.05070971936,287,75,166,1048
20645.605548854,3149.62283876156,145,10,44,490
22458.8248518291,2378.99376660535,137,16,91,576
22656.3315933383,2192.58223547933,256,92,151,1184
22853.6061864231,2667.27963462736,50,43,96,685
23065.8751628311,2603.35822839774,16,8,34,250
23083.8798085143,2199.45768507437,149,38,27,479
23190.5209517045,2508.59090909091,93,18,28,211
23744.4126591554,2468.21929101401,614,64,164,1519
23987.6276883451,2570.53547971668,327,23,85,585
24009.8667570775,1927.26682488557,164,22,137,589
24392.2286773795,2817.18927688504,366,49,235,735
24692.5075225677,2319.29488465396,15,3,6,102
24806.3188596491,2546.42485380117,96,28,68,377
25025.0545847241,2232.36344001571,245,18,196,635
25081.844076515,2438.66934576435,48,26,71,331
25355.1482053261,1964.91779235816,165,13,41,419
25389.4545228009,2424.58185895839,53,27,106,457
27530.7818224519,2347.11038046031,141,23,29,489
27678.7208182912,2294.212755716,110,36,31,418
28032.8679918807,2661.31203191713,380,52,56,1356
28313.8368144252,2432.29135987979,502,48,182,809
28532.8485845951,2181.54674127716,69,58,87,585
28543.8922984356,2761.10268752507,154,13,45,418
28926.1940990002,2577.76664228237,62,16,6,179
29023.5868469902,2606.10050384513,74,35,32,236
30427.8047786208,2266.4383422036,98,40,124,462
31844.7800382044,2098.77335243553,791,120,574,2020
32469.5921158488,3096.91382329279,22,12,26,83
32408.9045489255,3110.16363041344,337,44,233,1350
32478.2458380057,2620.67169843871,622,30,106,866
32528.6082961407,3087.26713048044,239,31,145,775
32485.2542372881,3106,68,16,79,224
33918.336496103,2640.76347001017,77,30,127,634
34539.1199423123,2461.75310471917,422,87,35,527
34368.4116647792,2151.62306530766,256,28,185,566
34547.6055298482,2458.35580710543,868,102,45,1018
34755.9983866631,2013.32374294165,92,59,158,377
35636.7271375465,2172.66790582404,192,33,111,834
35635.2463529412,2001.26164705882,338,20,97,1184
36311.9233528412,2296.02397583538,154,34,114,717
36351.8569771937,2143.2212988017,225,37,46,725
36560.4093284304,2402.4671956648,60,20,117,506
37019.4545454545,2630.09818181818,32,8,25,354
32.4513551077137,3520.38846421126,85,53,5,110
877.889154070538,3662.53964465659,231,10,49,302
1109.88553215078,3011.34756097561,60,20,90,234
1385.25905542045,3174.58773838474,166,102,141,227
1643.56805355033,3472.82425515159,373,70,126,182
1686.8660594696,3329.01687650683,329,58,72,245
2050.0800336984,2864.62426284751,150,12,89,379
2367.07234726688,3542.41720257235,35,16,85,136
2520.50636176066,3291.61468363136,59,54,123,289
4505.74535679374,2945.93682795699,101,39,358,752
5112.05747738159,3571.49973390101,76,5,19,264
5457.99859115244,3683.54015215554,106,0,25,405
5614.59003051882,3621.95574771109,120,8,10,226
5743.29103150407,3736.59641768293,178,21,45,240
5825.23243243243,3353.54378378378,211,34,113,522
5896.40603483192,3078.08950992305,252,8,108,498
6379.60044456794,3126.79021950542,540,37,254,1101
6580.08158473955,3371.76991929567,104,14,58,474
8704.93606010017,3590.72737896494,324,35,27,577
9763.96311116669,3405.14805552082,337,45,244,1165
9913.84329425222,3609.55147269088,253,21,89,865
10722.4141203462,2998.02148294921,381,62,62,1190
10709.9022321429,3114.03314732143,238,61,44,572
10690.9818529131,3733.25047755492,271,26,124,651
10883.3710304601,3186.03386260531,125,19,28,818
11717.477188656,3045.88501849568,168,76,39,274
11909.1154676259,3647.1773381295,282,54,120,808
12249.6882811533,2887.53347358,236,65,245,1165
12299.1885072095,3384.91475826972,111,23,29,705
12751.3325177936,2888.51423487544,320,42,52,1023
12791.2035825988,3021.89906170031,325,42,87,949
13491.349576517,3049.5683954055,314,61,388,1173
14275.1678924677,3027.28607659143,695,53,214,946
14276.2941015089,3018.88340192044,249,40,142,404
14321.1434569629,3058.39678096571,446,35,109,743
14341.4548736462,2962.99879663057,765,37,201,1684
14391.0585732165,3734.54705882353,866,29,177,1240
14569.3691901135,3505.4857764651,546,28,100,813
14813.2118676792,2990.90809628009,292,60,136,935
14822.1390532544,3278.52180006229,424,16,138,1168
14942.6271590579,3592.73626054085,314,19,90,804
14962.1238205835,3265.67673102047,489,29,125,1078
14981.9851536277,3048.42912470953,130,43,188,672
15307.082345333,3084.51519724078,939,87,270,1641
15550.0796439447,2936.5837432654,173,22,20,491
15713.0730186999,3473.24606708222,276,10,85,648
15735.591002045,3068.13292433538,156,15,27,289
15816.1355665025,2993.65261083744,9,5,12,12
16393.389099448,3221.44405536788,959,171,341,1194
16529.9800011993,3383.49433317342,1206,167,236,942
16862.5210514073,3703.26843451966,300,11,25,358
17129.5476042315,2853.00497822029,117,31,153,348
17179.8502441671,2970.96409839031,383,57,335,999
17195.453358209,2837.56654228856,153,28,178,340
20690.2338530067,3315.44868939524,355,42,96,774
20964.2949541284,3143.08302752294,712,42,108,1660
21004.4652257277,3525.16663761548,613,53,189,662
21111.3955282633,3697.25743977326,310,33,84,1003
21157.2672790901,3521.7421988918,205,55,67,659
21215.7315270936,3656.77691766362,66,11,7,171
22932.059683313,3109.98503567078,97,25,122,865
23269.8761134204,2846.43074524941,434,62,296,1886
23430.0592904584,3413.89146282197,61,26,59,362
23599.5528535007,3736.51637575995,57,35,23,559
23733.1050053248,3702.43642172524,30,22,19,470
23753.5088052018,3353.58981305879,353,35,174,1324
23863.1409287257,2911.43889488841,451,39,260,2162
23961.0171412381,3184.45119705341,288,22,190,1590
24049.1539292142,3378.72873425315,96,22,70,819
24395.4884270194,3631.84860651866,22,18,12,191
24553.5885347499,3523.36918990704,18,56,41,251
24697.5644902328,2942.05525822853,688,57,345,1709
25632.336873548,3208.56953202788,106,39,21,369
25636.6088474971,3640.52580519984,157,34,32,480
25658.7091022834,3100.05505161089,59,17,11,438
25737.4128173117,3688.27798585102,188,26,23,764
25991.6001372684,2883.52546328071,89,12,30,992
26724.0106526429,3317.30730852211,844,142,127,1653
27135.5379790941,4008.331242741,1027,91,335,1927
27225.0638341126,3977.31795080301,890,58,201,1909
28175.2423670129,3284.44140174168,830,70,176,1231
28373.4672883579,2925.21011219583,359,39,119,1133
28505.4770473742,3529.20694087404,397,21,116,851
28708.4919760856,3080.7440213971,329,19,97,623
28864.2561768531,3233.51061985262,286,22,111,593
28894.0485,2865.17066666667,223,29,105,601
28994.9253981559,3851.83151718357,35,13,11,63
29103.0491508492,3806.32547452547,581,55,128,1050
29399.9593080401,3441.17593866719,297,17,105,518
30062.461452514,3356.96826815642,182,13,93,537
30937.0580513419,3351.6932613769,198,22,29,1261
32457.0284720855,3101.13422554615,15,9,20,57
32401.1574269006,3528.37216374269,149,17,69,766
32462.5284207734,3100.48564037939,3,1,0,3
32482.4187285877,3646.08298439284,37,20,3,161
32568.8949971467,3669.17158074948,74,8,38,892
32862.7089072544,3117.34330316148,594,39,112,1089
33098.1627786418,3004.60238465526,101,61,33,335
33163.952936747,2931.30798192771,89,155,76,826
33178.3939169139,3030.52002967359,61,64,53,853
34035.7510515435,3465.03379197262,841,144,463,1611
36431.4018499486,4074.29856115108,20,5,9,190
36508.8601859024,4090.22192099148,17,10,9,90
111.555113160101,4523.97170997485,166,14,8,207
259.940633245383,4423.61565523307,293,12,32,402
2356.37279651795,3794.44657236126,70,31,127,490
3414.03218085106,4645.63164893617,310,33,114,593
5320.06077348066,3775.21286967826,147,10,63,527
5444.58605450528,4649.39995089615,227,23,57,463
5741.8527607362,3758.40514393582,229,13,106,448
6380.12331553521,3934.08899059242,64,11,81,421
6896.16528776978,4059.80431654676,144,48,84,716
7165.59398320896,3946.49556902985,150,56,60,581
7191.58928571429,4338.38822751323,10,2,11,188
7342.58827930175,4387.43591022444,15,3,5,204
7395.08298208641,4485.48524762908,17,7,7,227
7964.93219496021,4568.03216180371,599,70,29,1190
7891.34782608696,4506.6397515528,265,23,4,372
7972.99800760732,4469.42075710922,322,24,4,365
9550.24957362138,3816.02330869812,304,36,181,849
9800.67366447985,4135.54676663543,162,22,37,514
9955.01621073962,4123.67274569402,197,20,119,533
9973.46387411347,4384.08089539007,136,22,62,393
9989.61635514019,4011.78341121495,163,26,111,724
10548.4629903775,4643.25240562546,79,6,26,50
10485.1080147578,4653.56315252375,106,10,74,150
12048.0314290996,4628.26659271584,80,14,12,577
12041.5408854167,3853.59765625,137,37,9,660
13313.6987891019,3932.28620080727,163,60,330,882
14326.2993759487,4513.62421993591,303,17,115,558
14356.4735576923,4225.94740384615,876,20,305,1384
14503.0525639378,4032.68667266418,713,25,271,1437
14519.1379310345,4629.97923997185,275,26,147,911
15135.3094297899,4508.28494708577,91,7,43,487
15449.6276005548,4314.61151178918,493,22,233,907
16851.613040266,4248.18913926856,311,24,153,856
17314.4301871764,4164.17960971724,597,58,342,2222
17500.0590369393,4410.07816622691,405,9,83,736
