Xpos,Ypos,APCDD1,EGFR,MAP1B,GAPDH
21775.996241926,1404.18884321785,2,53,25,1427
22096.4891930836,1414.38400576369,39,89,8,1575
22213.0813552445,1027.19435991073,22,41,14,1228
22531.4728205128,1540.12758974359,17,66,2,821
22317.602575897,1723.49825206992,19,39,3,421
22527.8879745922,1544.41388768587,8,15,0,644
23203.5766300584,1431.42643712279,36,52,12,1808
23232.4787142682,1825.19028340081,18,62,9,1174
23335.2868288677,1435.57232317011,33,45,6,1540
23369.5955710128,1270.82780892895,49,69,20,2523
24490.3316214233,1210.32306187332,13,29,4,892
24540.9147169811,1304.45836477987,12,24,3,368
24690.7443560525,1282.07202752096,15,25,11,754
24857.6817048853,1461.52043868395,19,36,22,620
25070.0986467236,1678.05608974359,22,15,9,34
25252.1294445736,1801.42760864513,4,11,2,60
25788.7883793791,967.53745371689,28,38,3,247
25814.0279934133,1104.00211714891,25,18,5,101
27920.8430538173,1599.35844806008,3,31,1,467
28318.9631156433,1633.02994141896,9,34,0,553
28635.2739105829,1549.23259762309,0,11,0,354
29131.618102288,1842.3151076716,11,78,12,912
29473.507479698,1707.20943154295,4,80,6,853
29517.2633985835,1030.19692153254,5,162,32,2469
29787.5948580071,1314.81482103848,22,74,5,954
29798.9096157675,1711.88771650408,3,42,3,466
29997.2472552608,1340.51052150046,3,27,6,547
31360.5572519084,1208.47328244275,0,9,11,258
31386.9461756374,1209.86543909348,0,3,1,104
32358.9052893935,2103.83688728884,20,25,5,760
32782.1378770074,1757.23736780259,0,3,4,225
33582.3028367176,1322.44033766826,40,58,8,1363
33572.2050726209,1095.32668545415,8,47,9,969
34043.8934455587,1329.40419054441,4,62,20,1108
34500.7765586035,1696.37456359102,0,4,1,119
34524.1664019063,1720.37291501191,1,4,1,84
34501.7384737679,1673.77662957075,3,0,2,161
34542.6455696203,1696.88607594937,7,21,0,304
34647.4236103018,1343.66425824496,27,74,8,1559
34684.3469387755,1788.94157663065,5,3,6,374
34788.2230161715,1789.99398270026,6,12,10,559
34957.0044134727,1044.4524970964,19,30,3,1226
35070.1770985974,1457.0990161189,53,34,11,1130
35129.7118533071,1887.90438768828,29,35,17,708
35305.7718508997,1263.33483290488,5,30,3,780
35485.3159058918,1736.04383671828,5,25,6,249
35483.9578734364,1593.50294334069,17,39,0,303
35673.1179181871,1097.04359516036,21,38,32,1261
35770.7560855668,1764.2033439882,3,21,8,228
36136.8510638298,1609.2366722448,1,19,0,280
36167.7128537736,1026.07252358491,34,24,14,715
36274.7462814156,1061.63019319542,21,20,7,665
36779.067191188,2236.84327301338,4,38,13,790
150.617113402062,2781.51422680412,14,41,1,435
389.233654118313,2626.84418341353,11,66,1,1192
495.559233164018,2002.88579387187,17,67,7,869
786.050018389114,2678.94630378816,5,54,7,694
798.546121927865,2797.74976061283,0,28,6,445
814.983875739645,2177.43402366864,23,54,18,1410
1084.48029405759,1926.85715744333,40,88,17,882
1232.0150801131,2712.14970153943,15,21,5,359
1386.78584036085,2728.85350068641,43,23,5,321
1822.91538643347,2739.48522807847,20,32,5,519
2791.64410387399,2524.6619838229,17,10,4,723
2898.75048522752,2595.47724822083,7,22,1,428
3558.38126600805,2102.68990120746,196,31,7,1713
3640.47222222222,2176.36728395062,137,37,6,1138
3919.78070599613,2183.21602998066,23,81,21,1003
4047.79508051672,2586.01964254114,100,27,1,466
4355.13672746359,2568.7510825351,78,32,3,931
4458.73896136478,2644.9493226292,91,10,2,863
4804.53890651241,2719.53088262736,7,57,0,284
4991.14021115021,2005.68216336359,94,25,15,1057
5015.44587801609,2242.01809651475,91,35,25,1107
5426.61281993714,2419.69566681634,29,52,15,1305
5468.59054453356,2107.69881806669,2,16,7,533
5928.52802989856,2119.08186510055,5,22,7,789
6192.46165711767,1895.92794182459,36,31,14,1128
6275.80352440753,2773.09256633583,4,22,3,671
6660.80986333927,2447.75995246583,28,47,15,1277
6684.13968889573,2066.56830432774,57,67,23,1757
6880.92956502539,2789.41046588651,9,38,10,566
6930.18170212766,2506.46063829787,7,20,8,702
6992.64442493415,2107.56698858648,38,32,15,930
7076.37811114899,2345.03750426185,43,43,12,1091
7496.40733682706,2083.87708432587,13,37,1,504
7738.12223439211,1972.22146768894,14,42,18,842
7833.08117839607,2627.98191489362,23,152,3,1046
9315.84321189052,2723.66648540874,3,9,4,281
9478.45288658172,2157.71999370772,6,48,6,798
9493.91886313115,1973.31105112734,7,51,9,977
9545.91040772532,2589.56992131617,7,12,2,101
9668.55137971898,2337.56102928729,5,66,7,416
9860.08443126921,2391.37099253404,37,33,1,868
12088.777509798,2411.2037232439,8,13,9,1011
12100.5373966545,2415.47779273217,12,11,17,692
12854.8424359594,2647.81319478009,2,2,0,357
12944.5781328008,2737.88517224164,2,1,0,260
13745.3658600052,1911.08352849336,25,6,22,536
17356.8343587317,1970.08818425619,20,112,8,792
17776.6444480051,2456.98830315655,1,30,4,527
18367.9294408913,2454.3955023726,12,49,3,463
18878.1873318154,2493.37321465535,5,12,2,415
18610.0960134756,2579.31311997005,1,21,0,321
18893.7313960969,2457.1849667596,8,43,4,740
19019.8774566474,2117.38901734104,6,90,18,841
19052.3817133443,2429.50428336079,5,37,3,770
19152.5475723928,2022.79251034182,9,59,18,770
19414.2261869655,2753.94573872014,6,18,10,422
19442.1653901884,2624.508176361,11,7,5,422
19540.283931832,2308.10788192331,2,35,6,797
