Xpos,Ypos,APCDD1,EGFR,MAP1B,GAPDH
17229.1299338596,2019.42649882654,40,125,26,1112
18562.4719811737,2366.60538314458,86,92,7,777
18592.6997035155,2254.2750952986,84,98,16,865
18772.7703994119,2181.66258270032,79,57,7,517
19088.1501223824,2495.79167799837,140,45,14,1202
19519.8599419448,2522.30460812772,95,34,13,859
19662.2009615385,2079.2793956044,78,52,18,1235
19724.6865144999,2301.10861175433,214,74,8,1482
19718.5980066445,1909.48792912514,72,28,19,957
20387.4485514486,2559.41142191142,85,34,4,535
21635.7568196236,2612.08479593995,17,21,3,310
21826.4842019984,2749.62489873076,53,25,49,614
22119.1625829159,2812.34086909436,141,23,15,365
22338.0608664518,2124.19638381668,155,78,25,1252
22674.3059836809,2587.77153218495,77,28,2,388
22694.8954298993,1902.77652982184,98,45,25,452
24189.554073857,2700.23124267292,15,5,0,116
24716.2853055385,2779.85857347231,91,27,6,744
25090.0942568212,2170.4878839916,90,26,13,609
25171.0151405912,2306.12569093968,71,23,6,211
25762.7125294272,2186.62411718546,112,22,6,440
25905.9081088664,2730.17171717172,29,24,4,970
26057.2460335709,2017.9629799954,40,31,4,844
26159.956879845,2298.39825581395,63,40,6,858
26161.144820296,1985.83255813953,51,31,6,880
26247.8061184723,2180.07657833203,50,5,33,832
26482.7798760696,2152.81174387725,47,9,7,176
26492.4070163488,2599.3477520436,22,51,2,362
26548.817487007,2271.38184041578,40,5,3,98
27011.0287548364,2293.48979950756,70,22,7,1023
27020.5491915059,2816.00720826028,62,30,14,511
27148.0043068641,2258.81722745626,40,7,5,488
27646.0277097423,2816.61546335222,137,71,13,2112
27552.8360755637,2308.22029250457,101,52,9,425
27607.1634868421,2221.22631578947,47,18,24,510
27684.1922558923,2287.34646464646,27,16,18,523
28421.361575179,2537.98247315036,118,47,10,1160
28839.0400468384,1997.18430913349,11,16,16,499
28897.7217308152,1906.22663160411,36,24,7,471
29081.5098039216,2477.75527192009,21,25,1,540
29232.5411121673,2705.36858365019,52,39,4,452
29284.7722246793,2336.1163202123,69,91,31,1082
29340.2276643991,1988.14920634921,62,50,8,567
29937.9707851491,2742.89166159464,47,22,5,631
30042.7960784314,2763.39928698752,46,9,8,565
30136.7442133709,2039.00223240512,164,113,8,1242
30309.2265584075,2640.63645887899,32,14,7,375
32264.0041876047,2791.73841429369,95,26,5,663
32656.8539773435,2018.76982447404,176,75,22,1412
32707.6198295573,2488.5036374974,91,27,8,608
32918.6396223834,2304.68271993433,370,57,16,984
32987.6160930683,2673.3150751333,68,31,23,477
33227.8268121911,2177.94748764415,144,55,10,834
33295.037718146,2341.55676487146,105,42,1,580
33399.8233376793,2696.89787049109,50,18,7,297
33630.7577339521,2299.39965197216,109,65,1,352
34456.6381578947,2070.44555353902,2,17,0,470
35584.9713002733,2360.89066770793,81,21,25,662
